Problem Size,LinkedList Push,Array Push,LinkedList Pop,Array Pop,LinkedList Peek,Array Peek
100000,69,51,80,36,43,39
200000,51,45,36,36,32,34
300000,52,47,36,35,35,33
400000,56,47,39,36,54,33
500000,65,45,38,35,36,35
600000,53,47,37,35,35,33
700000,67,45,36,35,35,33
800000,66,81,36,37,34,34
900000,53,81,38,35,62,33
1000000,59,99,75,35,43,33
1100000,59,84,48,35,39,35
1200000,56,61,75,35,36,34
1300000,63,52,49,35,37,35
1400000,56,63,45,36,36,33
1500000,53,46,70,35,38,33
1600000,60,48,67,36,35,36
1700000,53,44,52,36,34,34
1800000,60,44,45,34,58,35
1900000,59,48,49,35,55,35
2000000,56,43,44,34,46,35
